Date,PortfolioValue,SPX,SPXBench
2011-03-31,100000000.0,1325.83,100000000.0
2011-06-30,99329112.0,1320.64,99608547.09879851
2011-09-30,89568877.385,1131.42,85336732.46192953
2012-12-31,110410543.57,1426.19,107569597.9122512
2013-09-30,129482139.22,1681.55,126829985.74477875
2013-12-31,137641158.30499998,1848.36,139411538.43252906
2014-03-31,140293937.78999996,1872.34,141220216.76987246
2014-06-30,143667743.2733333,1960.23,147849271.77692467
2014-09-30,136454122.39333332,1972.29,148758890.65717325
2014-12-31,140251901.82333335,2058.9,155291402.3668193
2015-03-31,140944129.12,2067.89,155969468.1821953
2015-06-30,136997778.51333332,2063.11,155608939.30594423
2015-09-30,129592060.43999998,1920.03,144817208.84276265
2015-12-31,139426170.89,2043.94,154163052.57838488
2016-03-31,147820362.63333336,2059.74,155354758.90574208
2016-06-30,146896441.91666666,2098.86,158305363.43271765
2016-09-30,143015769.94333333,2168.27,163540574.5834685
2017-03-31,163389428.98666668,2362.72,178206859.0995829
2017-06-30,163367671.20666668,2423.41,182784369.03675434
